,Name,Party,Votes,Comparative number,Region,Selected
755,"Heikkuri, Marko",PS,1024,3428,Lapin vp,
756,"Rask, Virva-Mari",Vas,1024,3042,Pirkanmaan vp,
757,"Nurmela, Piia",KD,1020,5725,Pirkanmaan vp,
758,"Kivistö, Kasper",Vihr,1018,4521,Helsingin vp,
759,"Rahkonen, Hannu",Kok,1016,3590,Hämeen vp,
760,"Westerholm, Anita",RKP,1012,4953,Uudenmaan vp,
761,"Lehtonen, Anneli",Vas,1010,2704,Pirkanmaan vp,
762,"Wahlsten, Stina",RKP,1008,5074,Helsingin vp,
763,"Eloranta, Satu-Sisko",SDP,992,3475,Savo-Karjalan vp,
764,"Hyytiäinen, Sari",Vihr,991,2302,Kaakkois-Suomen vp,
765,"Pursiainen, Sirpa",KD,990,4294,Pirkanmaan vp,
766,"Rantalainen, Iida-Eveliina",Kok,990,4233,Uudenmaan vp,
767,"Ponkkala, Diana",Kok,989,4082,Uudenmaan vp,
768,"Blomquist, Markus",RKP,987,2539,Varsinais-Suomen vp,
769,"Ma, Ding",Kok,986,4016,Kaakkois-Suomen vp,
770,"Raivio, Jaakko",PS,986,2857,Lapin vp,
771,"Virtanen, Sami",PS,984,4446,Varsinais-Suomen vp,
772,"Tuominen, Marke",PS,982,2318,Keski-Suomen vp,
773,"Syväranta, Mervi",PS,981,3214,Uudenmaan vp,
774,"Eklund, Tarja",SDP,979,4216,Uudenmaan vp,
775,"Honkanen, Hannah",Kesk,978,3392,Kaakkois-Suomen vp,
776,"Alariesto, Heidi",Muut,977,1989,Lapin vp,
777,"Pikkarainen, Rauno",Vas,975,2648,Savo-Karjalan vp,
778,"Alapiha, Heli",SDP,974,2653,Keski-Suomen vp,
779,"Andrejev, Katja",Vihr,974,2093,Kaakkois-Suomen vp,
780,"Tamminen, Seppo",PS,972,3046,Pirkanmaan vp,
781,"Liikanen, Jere",PS,969,3299,Kaakkois-Suomen vp,
782,"Kukkola, Jussi",SDP,968,4040,Uudenmaan vp,
783,"Hölttä, Minna",Vihr,967,3376,Pirkanmaan vp,
784,"Näsi, Janne",Kesk,967,2984,Hämeen vp,
785,"Kurikka, Leena",PS,965,3059,Vaasan vp,
786,"Mattila, Pirkko",Sin,964,2848,Oulun vp,
787,"Pelkonen, Nina (Peppi)",Kok,962,3941,Uudenmaan vp,
788,"Leppikorpi, Kalle",SDP,961,4494,Satakunnan vp,
789,"Suoniemi, Juhana",Vihr,959,3095,Pirkanmaan vp,
790,"Lehtola, Eetu",SDP,958,3359,Vaasan vp,
791,"Hellman, Anita",SDP,951,4001,Helsingin vp,
792,"Kiekara, Annemari",KD,950,4128,Varsinais-Suomen vp,
793,"Männikkö, Jari",SDP,947,2410,Oulun vp,
794,"Kuntsi, Tuulia",Kesk,944,2781,Keski-Suomen vp,
795,"Vuolanne, Antti",SDP,943,3932,Satakunnan vp,
796,"Holopainen, Antti",Vas,943,3793,Hämeen vp,
797,"Caglayan, Merve",Vihr,941,2857,Pirkanmaan vp,
798,"Vainionperä, Jussi",Muut,940,1770,Savo-Karjalan vp,
799,"Peltonen, Nina",SDP,938,4258,Kaakkois-Suomen vp,
800,"Vierunen, Maarit",Kok,937,4183,Helsingin vp,
801,"Vestola, Hannele",Vihr,936,2943,Keski-Suomen vp,
802,"Kokko, Hanne",Vihr,935,2910,Oulun vp,
803,"Heino, Marko",PS,932,3349,Hämeen vp,
804,"Alasalmi, Asko",SDP,928,2210,Oulun vp,
805,"Haimakainen, Pentti",Kok,927,3280,Vaasan vp,
806,"Niemi, Johanna",Vihr,927,3154,Varsinais-Suomen vp,
807,"Kärkäs, Joakim",SDP,926,3186,Savo-Karjalan vp,
808,"Suoniemi, Susanna",Vihr,926,2653,Pirkanmaan vp,
809,"Auer, Mira-Veera",Vas,923,3887,Helsingin vp,
810,"Raekannas, Riikka",Kesk,921,4400,Uudenmaan vp,
811,"Abdulla, Zahra",Vas,921,3563,Helsingin vp,
812,"Kousa-Kuusisto, Mari",Vihr,920,2804,Varsinais-Suomen vp,
813,"Wallgren, Thomas",SDP,918,3716,Helsingin vp,
814,"Korpivaara, Pekka",Kok,918,3681,Kaakkois-Suomen vp,
815,"Hämäläinen, Laura",Kesk,918,3131,Kaakkois-Suomen vp,
816,"Grönlund, Tiina",PS,918,3077,Savo-Karjalan vp,
817,"Kuismanen, Riitta",KD,916,3435,Pirkanmaan vp,
818,"Jansson, Marie-Helen",Muut,916,2678,Varsinais-Suomen vp,
819,"Alanen, Outi",Vas,912,3289,Helsingin vp,
820,"Södervall, Ari",PS,912,2448,Lapin vp,
821,"Kaukola, Ulla",SDP,907,3878,Uudenmaan vp,
822,"Saramäki, Sara",Kesk,904,3911,Uudenmaan vp,
823,"Mölsä, Jukka",Kesk,904,2611,Hämeen vp,
824,"Uski, Nina",Kok,897,3810,Uudenmaan vp,
825,"Grekula, Eeva-Maria",Vas,897,3274,Uudenmaan vp,
826,"Räty, Petteri",Vihr,896,2534,Uudenmaan vp,
827,"Ojajärvi, Tuomas",Vihr,895,2103,Vaasan vp,
828,"Aalto, Pirkka",KD,893,3103,Lapin vp,
829,"Korhonen, Anita",Muut,893,1180,Savo-Karjalan vp,
830,"Koivisto, Anni",SDP,881,3367,Lapin vp,
831,"Petro, Peter",Muut,881,3306,Hämeen vp,
832,"Ridanpää-Taittonen, Annu",Kok,879,2952,Vaasan vp,
833,"Jetsu, Kati",Vas,875,3171,Keski-Suomen vp,
834,"Perkkiö, Kimmo",Vihr,871,2132,Savo-Karjalan vp,
835,"Valpio, Jani (Wallu)",Vas,868,3054,Helsingin vp,
836,"Hannus, Kari",Kok,868,2972,Satakunnan vp,
837,"Hakkarainen, Jamaica",PS,865,2140,Keski-Suomen vp,
838,"Penttilä, Harri",Kesk,864,3316,Pirkanmaan vp,
839,"Palmi-Felin, Salla",Vihr,864,1926,Hämeen vp,
840,"Holtlund, Minna",SDP,863,3507,Varsinais-Suomen vp,
841,"Mäkinen-Aakula, Marjo",Kesk,863,2947,Pirkanmaan vp,
842,"Liinalampi, Tommi",Vihr,863,2523,Keski-Suomen vp,
843,"Lindqvist, Kaj",RKP,861,4503,Uudenmaan vp,
844,"Hannus, Daniel",SDP,861,3729,Uudenmaan vp,
845,"Välimäki, Erno",Vas,858,4135,Satakunnan vp,
846,"Snellman, Hans",RKP,857,5282,Vaasan vp,
847,"Loikkanen, Eelis",Kok,857,2461,Keski-Suomen vp,
848,"Salmi, Anssi",PS,855,4305,Satakunnan vp,
849,"Röman, Micaela Erika",RKP,850,4128,Uudenmaan vp,
850,"Korhonen, Kaisa",Vas,844,2269,Savo-Karjalan vp,
851,"Julin, Sofia",SDP,843,4719,Pirkanmaan vp,
852,"Paavilainen, Anne",SDP,843,3495,Satakunnan vp,
853,"Rantakaulio, Juha",PS,843,3079,Kaakkois-Suomen vp,
854,"Lehtimäki, Jouni",Kok,842,2547,Satakunnan vp,
855,"Hakamäki, Petri",Kesk,842,2321,Hämeen vp,
856,"Jussila, Anne-Mari",Kok,837,3946,Pirkanmaan vp,
857,"Kärkelä, Pilvi",Kesk,835,2653,Pirkanmaan vp,
858,"Mankkinen, Leena",SDP,834,4404,Pirkanmaan vp,
859,"Almgren, Mikko",KD,834,3627,Kaakkois-Suomen vp,
860,"Puurunen, Kirsti",Vas,830,1986,Savo-Karjalan vp,
861,"Rajala, Katja",Kok,826,2684,Vaasan vp,
862,"Lääperi, Minja",Vas,820,2591,Kaakkois-Suomen vp,
863,"Ihalainen, Kimmo",Kesk,817,2907,Kaakkois-Suomen vp,
864,"Ingraeus, Annika",Muut,813,6155,Uudenmaan vp,
865,"Kivikangas, Emma",SDP,813,3053,Vaasan vp,
866,"Haapalainen, Tuija",SDP,811,3591,Uudenmaan vp,
867,"Servin, Kevin",PS,808,3099,Uudenmaan vp,
868,"Kotalampi, Katja",Vas,807,2433,Pirkanmaan vp,
869,"Vierinen, Anna-Kaisa",Vihr,807,2208,Keski-Suomen vp,
870,"Kirkkola-Helenius, Tarja",Vas,805,3034,Hämeen vp,
871,"Usvalampi, Paul",PS,805,2992,Uudenmaan vp,
872,"Matilainen, Pekka",KD,803,2863,Pirkanmaan vp,
873,"Aalto, Esa",Vihr,803,2546,Oulun vp,
874,"Hietanen, Pentti",KD,802,2454,Pirkanmaan vp,
875,"Abdi, Faysal",SDP,801,3463,Uudenmaan vp,
876,"Martimo, Sauli",Kesk,798,4856,Lapin vp,
877,"Kajander, Rauno",Kesk,797,3718,Varsinais-Suomen vp,
878,"Kosola, Satu",Vas,792,2212,Pirkanmaan vp,
879,"Ikonen, Jaakko",SDP,791,2941,Savo-Karjalan vp,
880,"Korpela, Simo",KD,790,3358,Satakunnan vp,
881,"Mäki, Rauno",PS,790,2877,Pirkanmaan vp,
882,"Hyttinen, Nuutti",PS,789,6729,Helsingin vp,
883,"Pehkonen, Ninni",Vihr,788,2476,Pirkanmaan vp,
884,"Ali, Habiba",SDP,786,3344,Uudenmaan vp,
885,"Aidanjuuri-Vestala, Tanja",PS,785,2893,Uudenmaan vp,
886,"Simelius, Satu",Kesk,780,3305,Varsinais-Suomen vp,
887,"Sigfrids, Frida",RKP,776,3810,Uudenmaan vp,
888,"Venemies, Mauri",KD,776,3599,Helsingin vp,
889,"Lampola, Pia",SDP,773,3468,Helsingin vp,
890,"Isokoski, Sauli",Vas,773,2767,Vaasan vp,
891,"Hanni, Marianna",Vihr,771,1863,Satakunnan vp,
892,"Lepolahti, Harri",SDP,769,3232,Uudenmaan vp,
893,"Tupamäki, Binga",Kok,767,3687,Uudenmaan vp,
894,"Luoma, Otto",Kesk,765,3576,Vaasan vp,
895,"Rimmi, Sari",SDP,764,2432,Keski-Suomen vp,
896,"Kaira, Lauri",Kok,763,3571,Uudenmaan vp,
897,"Rainio, Jaakko",Kok,763,3463,Uudenmaan vp,
898,"Lindström, Leo",PS,763,2887,Kaakkois-Suomen vp,
899,"Saari, Hanna",Kok,762,2880,Oulun vp,
900,"Westerlund, Iris",Vihr,762,2450,Uudenmaan vp,
901,"Läärä, Kaisa",SDP,761,4129,Pirkanmaan vp,
902,"Nikkinen, Iikka",Vas,761,2028,Pirkanmaan vp,
903,"Kiviniemi, Sanni",Kok,760,3744,Varsinais-Suomen vp,
904,"Laakso, Tarvo ""Rokkipappi""",KD,760,2147,Pirkanmaan vp,
905,"Korpikoski, Terho",PS,760,2142,Lapin vp,
906,"Roponen, Anne",Vihr,752,1938,Savo-Karjalan vp,
907,"Muttilainen, Sami (Frank)",Vas,751,2850,Helsingin vp,
908,"Launiala, Mimmi",Vas,749,2910,Uudenmaan vp,
909,"Klemelä-Ruohomäki, Tiina",PS,748,3767,Satakunnan vp,
910,"Lindeman, Aarre",SDP,747,3796,Hämeen vp,
911,"Simonen, Juha",PS,746,2799,Uudenmaan vp,
912,"Sistonen, Markku",SDP,744,3128,Uudenmaan vp,
913,"Taivassalo, Riikka",Sin,744,2053,Helsingin vp,
914,"Soukainen, Jyrki",Kesk,738,2981,Satakunnan vp,
915,"Pentikäinen, Pia",PS,737,2858,Savo-Karjalan vp,
916,"Hirsjärvi, Irma",Vas,737,2537,Keski-Suomen vp,
917,"Koikkalainen, Emilia",Kok,737,2187,Keski-Suomen vp,
918,"Harju, Kari",RKP,736,4802,Vaasan vp,
919,"Kantola, Juha",Kesk,733,2608,Satakunnan vp,
920,"Kesseli, Rauno",Vas,732,1872,Pirkanmaan vp,
921,"Salo, Henna",Vihr,731,1753,Vaasan vp,
922,"Vistbacka, Raimo",Sin,731,1437,Vaasan vp,
923,"Ketola, Tarmo",Vihr,729,1962,Keski-Suomen vp,
924,"Jokela, Laura",PS,728,5888,Helsingin vp,
925,"Ingervo, Sirkku",Vas,727,2672,Helsingin vp,
926,"Mäentalo, Mika",Kesk,727,2089,Hämeen vp,
927,"Koivisto, Maarit",Vas,723,5891,Varsinais-Suomen vp,
928,"Haapa-aho, Olga",Vihr,723,2321,Pirkanmaan vp,
929,"Parkkinen, Mari",Vihr,721,1918,Kaakkois-Suomen vp,
930,"Akinyemi, Aino",Vas,718,2076,Vaasan vp,
931,"Niemi, Kauko",Vas,717,1660,Vaasan vp,
932,"Edelman, Tiina",Vihr,716,1733,Hämeen vp,
933,"Hilakari, Pirjo",SDP,715,3030,Uudenmaan vp,
934,"Vainio, Vesa",KD,713,2721,Kaakkois-Suomen vp,
935,"Tuohimaa, Eija",SDP,712,2245,Keski-Suomen vp,
936,"Ismark, Runa",RKP,709,4059,Helsingin vp,
937,"Huuskonen, Vesa",Kok,709,3398,Kaakkois-Suomen vp,
938,"Silvo, Sonja",Vihr,707,1771,Kaakkois-Suomen vp,
939,"Harju, Markku",Vihr,705,1502,Vaasan vp,
940,"Mustafi, Albana",Vas,703,3528,Lapin vp,
941,"Tommila, Milka",Vas,702,3101,Satakunnan vp,
942,"Hanhela, Saara",Kesk,700,3362,Savo-Karjalan vp,
943,"Tanttinen, Markku",SDP,700,3146,Satakunnan vp,
944,"Kalliola, Jarmo",PS,699,3110,Hämeen vp,
945,"Soivio, Miikka",Kok,698,3361,Uudenmaan vp,
946,"Kontiokoski, Kari",PS,698,1904,Lapin vp,
947,"el-Khatib, Amro",Vas,697,5050,Varsinais-Suomen vp,
948,"Björklund, Mikko",Muut,696,4924,Uudenmaan vp,
949,"Patanen, Mia",Vas,696,2073,Kaakkois-Suomen vp,
950,"Salonen, Antti",Vas,696,1738,Pirkanmaan vp,
951,"Plath, Vesa",Vas,690,2114,Keski-Suomen vp,
952,"Salmijärvi, Petteri",Kesk,686,4162,Lapin vp,
953,"Hellman, Veera",Kok,684,3984,Helsingin vp,
954,"Nurmi, Veli-Pekka",Kok,684,3495,Varsinais-Suomen vp,
955,"Kilpeläinen, Sami",KP,684,1424,Oulun vp,
956,"Lampi, Pirjo",PS,682,3853,Varsinais-Suomen vp,
957,"Nurmi, Mika",SDP,682,2860,Satakunnan vp,
958,"Kuusela, Ville-Matti",Muut,682,1653,Hämeen vp,
959,"Hirsso, Päivi",Kok,681,2618,Oulun vp,
960,"Keronen, Jiri",PS,680,2712,Uudenmaan vp,
961,"Linnainmäki, Joel",Vihr,680,2371,Uudenmaan vp,
962,"Salonen, Tomi",PS,677,3348,Satakunnan vp,
963,"Koriseva, Piia",Kesk,677,2975,Varsinais-Suomen vp,
964,"Makkonen, Teija",Muut,675,3373,Helsingin vp,
965,"Granroth, Simon",RKP,674,3383,Helsingin vp,
966,"Porramo, Saija",Vihr,673,2523,Varsinais-Suomen vp,
967,"Hankamäki, Jukka",PS,672,5234,Helsingin vp,
968,"Lawson Hellu, Latékoé",Vihr,668,2263,Oulun vp,
969,"Rautiainen, Jouni",Sin,668,2066,Savo-Karjalan vp,
970,"Pohjola, Kari",PS,667,2667,Savo-Karjalan vp,
971,"Uusipaasto, Tarja",Kesk,664,2549,Keski-Suomen vp,
972,"Vättö, Heidi",Vas,660,1727,Kaakkois-Suomen vp,
973,"Kauhaniemi, Mari",Vihr,659,2297,Uudenmaan vp,
974,"Pitkänen, Juha",Vas,659,1765,Savo-Karjalan vp,
975,"Rytky, Tiina",SDP,658,3251,Helsingin vp,
976,"Kivelä, Kimmo",Sin,658,1377,Savo-Karjalan vp,
977,"Järvenpää, Kaarina",KD,657,3732,Uudenmaan vp,
978,"Heijnsbroek-Wirén, Mia",RKP,657,3538,Uudenmaan vp,
979,"Nummenpalo, Mika",Muut,656,1785,Varsinais-Suomen vp,
980,"Kauppinen, Tuomas",Kesk,655,3520,Uudenmaan vp,
981,"Savela, Sari",KD,655,2986,Uudenmaan vp,
982,"Haikkonen, Aila",Kesk,654,2319,Satakunnan vp,
983,"Muhonen, Siiri",SDP,654,2085,Keski-Suomen vp,
984,"Nieminen, Tuomas",Vas,653,2529,Hämeen vp,
985,"Tepora, Tuulikki",KD,652,2399,Helsingin vp,
986,"Heinonen, Harri",Vihr,652,1575,Hämeen vp,
987,"Paloheimo, Kaisu",KD,651,1908,Pirkanmaan vp,
988,"Auvinen, Petteri",SDP,650,3060,Helsingin vp,
989,"Aho, Virve",Kok,648,3276,Varsinais-Suomen vp,
990,"Ahvenainen, Timo",Vihr,648,2037,Oulun vp,
991,"Lämsä, Tapio",PS,647,3294,Oulun vp,
992,"Pajunen, Kari",PS,646,1987,Keski-Suomen vp,
993,"Finne-Elonen, Laura",RKP,644,2899,Helsingin vp,
994,"Torro, Kaarina",SDP,644,2040,Oulun vp,
995,"Kaurala, Jaana",Muut,642,1339,Varsinais-Suomen vp,
996,"Herranen, Olli",Muut,642,1102,Hämeen vp,
997,"Häkkinen, Kati",Muut,641,4026,Kaakkois-Suomen vp,
998,"Schneider, Kai",Vihr,640,2294,Varsinais-Suomen vp,
999,"Junnila, Vesa-Matti",PS,634,3014,Satakunnan vp,
1000,"Byskata, Leo",KD,633,4180,Vaasan vp,
1001,"Kajula, Eemeli",SDP,633,2693,Lapin vp,
1002,"Lähteenmäki, Pasi",Pir,632,5882,Uudenmaan vp,
1003,"Haakana, Marko",Vas,628,1589,Savo-Karjalan vp,
1004,"Lyytinen, Leena",Vihr,627,1766,Keski-Suomen vp,
1005,"Kostama, Rita",Kok,626,3265,Uudenmaan vp,
1006,"Hurtig, Kaarle",RKP,625,2537,Helsingin vp,
1007,"Asikainen, Aila",KD,625,2176,Kaakkois-Suomen vp,
1008,"Kekäläinen, Timo",Muut,622,4103,Uudenmaan vp,
1009,"Björkman, Patrik Alexander",RKP,622,3302,Uudenmaan vp,
1010,"Sairanen, Lea",Kok,622,3156,Kaakkois-Suomen vp,
1011,"Liinakoski, Eija",PS,618,2630,Uudenmaan vp,
1012,"Karppinen, Sonja",Vas,618,1812,Keski-Suomen vp,
1013,"Määttä, Henry",KD,617,5794,Savo-Karjalan vp,
1014,"Laakso, Hanna",Kok,615,1969,Keski-Suomen vp,
1015,"Oksanen, Anu",Vihr,615,1605,Keski-Suomen vp,
1016,"Karlsson, Patrik",RKP,614,3096,Uudenmaan vp,
1017,"Niinivirta, Pirjo",PS,613,3612,Varsinais-Suomen vp,
1018,"Malkamäki, Janne",Kok,613,2400,Oulun vp,
1019,"Berg, Jens",RKP,612,2914,Uudenmaan vp,
1020,"Varajärvi, Marko",SDP,612,2245,Lapin vp,
1021,"Jalonen, Ari",Kok,612,2229,Satakunnan vp,
1022,"Nieminen, Juri",Muut,612,827,Hämeen vp,
1023,"Toivola, Kirsi",PS,611,2552,Uudenmaan vp,
1024,"Ahtiainen, Marko",Kok,608,3291,Hämeen vp,
1025,"Lahti, Miia",Kesk,606,3200,Uudenmaan vp,
1026,"Johansson, Birgitta",RKP,602,2255,Helsingin vp,
1027,"Patana, Tuija",Kesk,599,4345,Oulun vp,
1028,"Sirén, Jouni",Vas,599,1622,Pirkanmaan vp,
1029,"Hynynen, Evelyn",KD,597,2864,Oulun vp,
1030,"Roslöf, Jari",SDP,596,3886,Pirkanmaan vp,
1031,"Lampinen, Tauno",PS,596,2855,Vaasan vp,
1032,"Tani, Iida",Kok,594,2945,Kaakkois-Suomen vp,
1033,"Himmanen, Heidi",RKP,594,2752,Uudenmaan vp,
1034,"Virtanen, Rami",Vas,592,2481,Satakunnan vp,
1035,"Meriläinen, Marko",Kok,591,2460,Vaasan vp,
1036,"Ahonen, Liisa",KD,590,1814,Kaakkois-Suomen vp,
1037,"Lehtonen, Tiia",Vas,590,1586,Keski-Suomen vp,
1038,"Rauhio, Ville",PS,588,3100,Oulun vp,
1039,"Lampela, Jouko",PS,588,1714,Lapin vp,
1040,"Elo, Simon",Sin,587,3172,Uudenmaan vp,
1041,"Huumonen, Hanna",SDP,587,2890,Helsingin vp,
1042,"Nummelin, Reetta",Kok,587,1790,Keski-Suomen vp,
1043,"Taipale, Kaarin",SDP,586,2738,Helsingin vp,
1044,"Iltanen, Marko",SDP,586,2621,Satakunnan vp,
1045,"Karjalainen, Jenni",Vas,585,2167,Hämeen vp,
1046,"Laine, Aleksi",Vihr,583,1644,Kaakkois-Suomen vp,
1047,"Takatalo, Henna",Kesk,581,2704,Varsinais-Suomen vp,
1048,"Alho, Marja-Leena",Kok,581,1981,Satakunnan vp,
1049,"Sutinen, Miika",Kok,580,2215,Oulun vp,
1050,"Kallioinen, Inna",Kesk,579,2933,Uudenmaan vp,
1051,"Gustafsson, Åsa",RKP,577,2176,Varsinais-Suomen vp,
1052,"Rummakko, Janne",Muut,577,1422,Keski-Suomen vp,
1053,"Lähdesmäki, Juhana",KD,575,3344,Vaasan vp,
1054,"Kaartokallio, Loviisa",KD,575,2488,Uudenmaan vp,
1055,"Tiihonen, Ossi",PS,575,2479,Uudenmaan vp,
1056,"Valkovirta, Pauliina",Kok,575,2057,Oulun vp,
1057,"Gran, Birgitta",Vas,574,2619,Uudenmaan vp,
1058,"Aitto-oja, Vesa",KD,574,1909,Oulun vp,
1059,"Koskela, Laila",Kesk,573,2412,Pirkanmaan vp,
1060,"Heywood, Alina",Vihr,573,2103,Varsinais-Suomen vp,
1061,"Gren, Minna",Muut,572,2013,Kaakkois-Suomen vp,
1062,"Korpela, Mikko",Kok,571,1783,Satakunnan vp,
1063,"Hauska-Mertanen, Eija",KD,571,1555,Kaakkois-Suomen vp,
1064,"Ehrnrooth, Cecilia",RKP,568,2030,Helsingin vp,
1065,"Kurvinen, Kyösti",SDP,566,3273,Varsinais-Suomen vp,
1066,"Kumin, Sari",KD,565,1800,Helsingin vp,
1067,"Honkala, Matti",Kok,564,1920,Oulun vp,
1068,"Holmberg, Nico",Vihr,563,1472,Keski-Suomen vp,
1069,"Kosonen, Jyrki",Kesk,562,2707,Uudenmaan vp,
1070,"Jääskeläinen, Jari",Vas,560,2381,Uudenmaan vp,
1071,"Tonteri, Antti",PS,560,1558,Lapin vp,
1072,"Jussila, Perttu",Vihr,557,2184,Pirkanmaan vp,
1073,"Saarelainen, Antti",Vas,557,1444,Savo-Karjalan vp,
1074,"Uimaluoto, Marika",SDP,556,2420,Satakunnan vp,
1075,"Merjonen, Päivi",Muut,556,1067,Keski-Suomen vp,
1076,"Kaskiharju, Jouni",PS,551,2410,Uudenmaan vp,
1077,"Outila, Tiina",Vas,550,2822,Lapin vp,
1078,"Ruokonen, Marja",Vas,548,4419,Varsinais-Suomen vp,
1079,"Pynnönen, Kristel",RKP,548,2607,Uudenmaan vp,
1080,"Karhu, Virpi",Vas,548,1384,Vaasan vp,
1081,"Hannula, Tuomas",Muut,546,3586,Pirkanmaan vp,
1082,"Turunen, Kaj",Kok,545,2761,Kaakkois-Suomen vp,
1083,"Ervasti, Sofia",Kok,543,1800,Oulun vp,
1084,"Parjanen, Pirkko",KD,542,1360,Kaakkois-Suomen vp,
1085,"Gästrin, Eva-Lena",RKP,540,2477,Uudenmaan vp,
1086,"Toivonen-Alastalo, Hilu",Vihr,540,2063,Pirkanmaan vp,
1087,"Catani, Hanna",Vas,539,2183,Uudenmaan vp,
1088,"Nguyen, Chau",Vas,539,2015,Uudenmaan vp,
1089,"Lepistö, Anssi",Vihr,538,1444,Hämeen vp,
1090,"Sorja, Marika",PS,537,4711,Helsingin vp,
1091,"Holviala, Kim",Pir,537,2941,Uudenmaan vp,
1092,"Simonen-Jokinen, Terhi",Kok,537,1641,Keski-Suomen vp,
1093,"Suokas, Kyösti",Vas,536,1871,Uudenmaan vp,
1094,"Karttunen, Oona",Muut,536,885,Savo-Karjalan vp,
1095,"Juntura, Jonne",SDP,535,2601,Helsingin vp,
1096,"Airaksinen, Marja",Kesk,534,2514,Uudenmaan vp,
1097,"Vainila, Johanna",KD,533,1679,Satakunnan vp,
1098,"Säynevirta, Sami-Pekka",Vas,531,1746,Uudenmaan vp,
1099,"Kalhori, Veronica",SDP,530,2938,Uudenmaan vp,
1100,"Aalto, Olli-Pekka",Kesk,530,2479,Varsinais-Suomen vp,
1101,"Diop, Paco",Vihr,529,1941,Varsinais-Suomen vp,
1102,"Ukkola, Jaakko",Muut,528,1594,Oulun vp,
1103,"Laine, Pekka",Vihr,527,1776,Savo-Karjalan vp,
1104,"Riihilahti, Eija",Muut,527,1071,Varsinais-Suomen vp,
1105,"Mikkonen, Vilho",SDP,526,2731,Savo-Karjalan vp,
1106,"Turunen, Riikka",Kesk,526,2714,Kaakkois-Suomen vp,
1107,"Mykkänen, Risto",Vas,526,1481,Kaakkois-Suomen vp,
1108,"Kankaanpää, Emilia",Vas,525,1637,Uudenmaan vp,
1109,"Häggblom, Kari",SDP,524,2799,Vaasan vp,
1110,"Piirainen, Heli",Vas,524,1521,Pirkanmaan vp,
1111,"Turkkila, Matias",PS,522,4282,Helsingin vp,
1112,"Moradi, Said",Vas,518,1541,Uudenmaan vp,
1113,"Laitinen, Tiera",PS,517,3925,Helsingin vp,
1114,"Kulju, Petri",KD,512,1718,Pirkanmaan vp,
1115,"Ali, Alas",Kesk,511,2288,Varsinais-Suomen vp,
1116,"Sormunen, Anne",Vihr,511,1852,Oulun vp,
1117,"Närvä, Tuula",Vihr,510,1315,Vaasan vp,
1118,"Tiainen, Miika",SDP,508,3069,Varsinais-Suomen vp,
1119,"Kangaslampi, Samuli",Pir,508,2717,Pirkanmaan vp,
1120,"Salmela, Meiju",Kesk,507,3642,Lapin vp,
1121,"Astikainen, Antti",Vas,507,1296,Kaakkois-Suomen vp,
1122,"Knaapila, Noora",Vas,507,1186,Vaasan vp,
1123,"Nieminen, Marko",PS,505,2740,Satakunnan vp,
1124,"Kaunismäki, Tomi",KD,504,2787,Vaasan vp,
1125,"Grönroos, Arto",Muut,504,2391,Pirkanmaan vp,
1126,"Mahdi, Ramieza",RKP,503,4402,Vaasan vp,
1127,"Kontinen, Reijo",Vas,503,2352,Lapin vp,
1128,"Silvennoinen-Hiisku, Sveta",Vihr,503,2227,Uudenmaan vp,
1129,"Leppänen, Janne",PS,502,2677,Vaasan vp,
1130,"Arvela, Ari",Kesk,502,2211,Pirkanmaan vp,
1131,"Villikka, Ansela",KD,502,1209,Kaakkois-Suomen vp,
1132,"Kiili, Kalle",Kesk,499,2041,Pirkanmaan vp,
1133,"Sirviö, Ari-Pekka",SDP,498,1894,Oulun vp,
1134,"Käyhkö, Tuomo",KD,497,4346,Savo-Karjalan vp,
1135,"Keränen, Jyri",SDP,497,3670,Pirkanmaan vp,
1136,"Pekonen, Sara",Vas,496,1455,Uudenmaan vp,
1137,"Korhonen, Maarit",Kok,494,3084,Varsinais-Suomen vp,
1138,"Åkerö, Fredrika",RKP,494,2359,Uudenmaan vp,
1139,"Pontán, Freja",RKP,494,1845,Helsingin vp,
1140,"Andersson, Niklas",RKP,491,2251,Uudenmaan vp,
1141,"Salminen, Petri",Vas,489,2068,Satakunnan vp,
1142,"Rummukainen, Mari",Vas,488,1379,Uudenmaan vp,
1143,"Kunnas, Kristiina",KD,487,1440,Helsingin vp,
1144,"Virkkula, Timo",SDP,486,2888,Varsinais-Suomen vp,
1145,"Mänkäri, Marjaana",Kesk,485,2125,Varsinais-Suomen vp,
1146,"Harlamow, Ari",Vas,485,1409,Keski-Suomen vp,
1147,"Taupila, Reija",KD,484,2133,Uudenmaan vp,
1148,"Hovila, Sari",Kesk,483,2353,Keski-Suomen vp,
1149,"Mustakallio, Lalli",Vas,483,2016,Lapin vp,
1150,"Wahrman, Kalevi",SKP,483,1232,Uudenmaan vp,
1151,"Miettinen, Lasse",Vihr,482,1802,Varsinais-Suomen vp,
1152,"Porttikivi, Ilkka",Vas,482,1431,Pirkanmaan vp,
1153,"Paldán, Ari",PS,481,1428,Lapin vp,
1154,"Toropainen, Ari",Muut,481,1342,Kaakkois-Suomen vp,
1155,"Häyrinen, Teemu",Vihr,481,1333,Hämeen vp,
1156,"Rautakorpi, Ari",Kok,476,3683,Pirkanmaan vp,
1157,"Liski, Kaisa",Kesk,476,1899,Hämeen vp,
1158,"Häkkilä, Henri",PS,474,2725,Pirkanmaan vp,
