,Name,Party,Votes,Comparative number,Region,Selected
104,"Talvitie, Mari-Leena",Kok,5934,28799,Oulun vp,Valitaan
105,"Alanko-Kahiluoto, Outi",Vihr,5934,18085,Helsingin vp,Valitaan
106,"Rydman, Wille",Kok,5900,13944,Helsingin vp,Valitaan
107,"Pylväs, Juha",Kesk,5890,26069,Oulun vp,Valitaan
108,"Norrback, Anders",RKP,5885,13205,Vaasan vp,Valitaan
109,"Immonen, Olli",PS,5862,17568,Oulun vp,Valitaan
110,"Honkasalo, Veronika",Vas,5842,14251,Helsingin vp,Valitaan
111,"Malm, Niina",SDP,5814,11923,Kaakkois-Suomen vp,Valitaan
112,"Antikainen, Sanna",PS,5793,40005,Savo-Karjalan vp,Valitaan
113,"Juuso, Kaisa",PS,5758,17139,Lapin vp,Valitaan
114,"Wihonen, Jussi",PS,5740,20003,Savo-Karjalan vp,Valitaan
115,"Taimela, Katja",SDP,5734,16367,Varsinais-Suomen vp,Valitaan
116,"Mattila, Hanna-Leena",Kesk,5721,19552,Oulun vp,Valitaan
117,"Koskinen, Johannes",SDP,5720,16449,Hämeen vp,Valitaan
118,"Savola, Mikko",Kesk,5710,16688,Vaasan vp,Valitaan
119,"Kari, Mika",SDP,5676,12337,Hämeen vp,Valitaan
120,"Laiho, Mia",Kok,5662,19048,Uudenmaan vp,Valitaan
121,"Laakso, Kristian Sheikki",PS,5637,15396,Kaakkois-Suomen vp,Valitaan
122,"Rehn-Kivi, Veronica",RKP,5636,16510,Uudenmaan vp,Valitaan
123,"Heinonen, Timo",Kok,5600,13162,Hämeen vp,Valitaan
124,"Kosonen, Hanna",Kesk,5576,20352,Kaakkois-Suomen vp,Valitaan
125,"Mustajärvi, Markus",Vas,5525,14110,Lapin vp,Valitaan
126,"Pirttilahti, Arto",Kesk,5504,26527,Pirkanmaan vp,Valitaan
127,"Vehviläinen, Anu",Kesk,5503,25213,Savo-Karjalan vp,Valitaan
128,"Juvonen, Arja",PS,5481,21694,Uudenmaan vp,Valitaan
129,"Biaudet, Eva",RKP,5472,20295,Helsingin vp,Valitaan
130,"Harakka, Timo",SDP,5470,24241,Uudenmaan vp,Valitaan
131,"Kurvinen, Antti",Kesk,5465,12516,Vaasan vp,Valitaan
132,"Autto, Heikki",Kok,5447,12412,Lapin vp,Valitaan
133,"Koponen, Ari",PS,5413,17355,Uudenmaan vp,Valitaan
134,"Ovaska, Jouni",Kesk,5357,13264,Pirkanmaan vp,Valitaan
135,"Vanhanen, Matti",Kesk,5265,17599,Uudenmaan vp,Valitaan
136,"Satonen, Arto",Kok,5123,13811,Pirkanmaan vp,Valitaan
137,"Vähämäki, Ville",PS,5074,13176,Oulun vp,Valitaan
138,"Tuomioja, Erkki",SDP,5015,17339,Helsingin vp,Valitaan
139,"Lohi, Markus",Kesk,4966,9712,Lapin vp,Valitaan
140,"Reijonen, Minna",PS,4927,13335,Savo-Karjalan vp,Valitaan
141,"Marttinen, Matias",Kok,4926,17831,Satakunnan vp,Valitaan
142,"Suomela, Iiris",Vihr,4872,37136,Pirkanmaan vp,Valitaan
143,"Hoskonen, Hannu",Kesk,4871,16808,Savo-Karjalan vp,Valitaan
144,"Hassi, Satu",Vihr,4833,18568,Pirkanmaan vp,Valitaan
145,"Puisto, Sakari",PS,4824,25889,Pirkanmaan vp,Valitaan
146,"Gustafsson, Jukka",SDP,4808,13213,Pirkanmaan vp,Valitaan
147,"Harjanne, Atte",Vihr,4791,15071,Helsingin vp,Valitaan
148,"Koponen, Noora",Vihr,4711,24498,Uudenmaan vp,Valitaan
149,"Kiljunen, Kimmo",SDP,4644,19392,Uudenmaan vp,Valitaan
150,"Honkonen, Petri",Kesk,4639,15296,Keski-Suomen vp,Valitaan
151,"Vallin, Veikko",PS,4564,17259,Pirkanmaan vp,Valitaan
152,"Sirén, Saara-Sofia",Kok,4506,13105,Varsinais-Suomen vp,Valitaan
153,"Lundén, Mikko",PS,4504,14449,Varsinais-Suomen vp,Valitaan
154,"Hyrkkö, Saara",Vihr,4486,18374,Uudenmaan vp,Valitaan
155,"Sjöblom, Ruut",Kok,4485,16326,Uudenmaan vp,Valitaan
156,"Aittakumpu, Pekka",Kesk,4479,15642,Oulun vp,Valitaan
157,"Rantakangas, Antti",Kesk,4447,13035,Oulun vp,Valitaan
158,"Torniainen, Ari",Kesk,4440,13568,Kaakkois-Suomen vp,Valitaan
159,"Forsgrén, Bella",Vihr,4365,17660,Keski-Suomen vp,Valitaan
160,"Koskela, Jari",PS,4322,15068,Satakunnan vp,Valitaan
161,"Virta, Sofia",Vihr,4284,25233,Varsinais-Suomen vp,Valitaan
162,"Slunga-Poutsalo, Riikka",PS,4247,14463,Uudenmaan vp,Valitaan
163,"Kvarnström, Johan",SDP,4215,16160,Uudenmaan vp,Valitaan
164,"Tolvanen, Kari",Kok,4211,14286,Uudenmaan vp,Valitaan
165,"al-Taee, Hussein",SDP,4210,13852,Uudenmaan vp,Valitaan
166,"Elo, Tiina",Vihr,4194,14699,Uudenmaan vp,Valitaan
167,"Huttunen, Hanna",Kesk,4155,12606,Savo-Karjalan vp,Valitaan
168,"Hänninen, Katja",Vas,4130,11235,Oulun vp,Valitaan
169,"Heikkinen, Janne",Kok,4124,14400,Oulun vp,Valitaan
170,"Myllykoski, Jari",Vas,3997,12405,Satakunnan vp,Valitaan
171,"Suhonen, Timo",SDP,3980,12743,Savo-Karjalan vp,Valitaan
172,"Kopra, Jukka",Kok,3973,22089,Kaakkois-Suomen vp,Valitaan
173,"Kautto, Juho",Vas,3863,12685,Keski-Suomen vp,Valitaan
174,"Mäkynen, Jukka",PS,3862,14275,Vaasan vp,Valitaan
175,"Kiviranta, Esko",Kesk,3815,14874,Varsinais-Suomen vp,Valitaan
176,"Kaunisto, Ville",Kok,3753,14726,Kaakkois-Suomen vp,Valitaan
177,"Niemi, Veijo",PS,3702,12945,Pirkanmaan vp,Valitaan
178,"Pitko, Jenni",Vihr,3606,20367,Oulun vp,Valitaan
179,"Kemppi, Hilkka",Kesk,3601,20890,Hämeen vp,Valitaan
180,"Saramo, Jussi",Vas,3501,26192,Uudenmaan vp,Valitaan
181,"Laukkanen, Antero",KD,3459,14928,Uudenmaan vp,Valitaan
182,"Semi, Matti",Vas,3448,15885,Savo-Karjalan vp,Valitaan
183,"Keto-Huovinen, Pihla",Kok,3396,12698,Uudenmaan vp,Valitaan
184,"Rantanen, Piritta",SDP,3303,14593,Keski-Suomen vp,Valitaan
185,"Könttä, Joonas",Kesk,3303,10197,Keski-Suomen vp,Valitaan
186,"Järvinen, Heli",Vihr,3274,23018,Kaakkois-Suomen vp,Valitaan
187,"Turtiainen, Ano",PS,3265,11547,Kaakkois-Suomen vp,Valitaan
188,"Eestilä, Markku",Kok,3046,13858,Savo-Karjalan vp,Valitaan
189,"Bergqvist, Sandra",RKP,2981,15234,Varsinais-Suomen vp,Valitaan
190,"Sankelo, Janne",Kok,2927,14762,Vaasan vp,Valitaan
191,"Rantanen, Mari",PS,2909,23553,Helsingin vp,Valitaan
192,"Kotiaho, Jouni",PS,2878,13909,Keski-Suomen vp,Valitaan
193,"Piirainen, Raimo",SDP,2775,13257,Oulun vp,Valitaan
194,"Holopainen, Hanna",Vihr,2656,11509,Kaakkois-Suomen vp,Valitaan
195,"Yrttiaho, Johannes",Vas,2623,17674,Varsinais-Suomen vp,Valitaan
196,"Lohikoski, Pia",Vas,2536,13096,Uudenmaan vp,Valitaan
197,"Soinikoski, Mirka",Vihr,2310,17330,Hämeen vp,Valitaan
198,"Viljanen, Heidi",SDP,2167,10485,Satakunnan vp,Valitaan
199,"Packalén, Tom",PS,2013,15702,Helsingin vp,Valitaan
200,"Modig, Silvia",Vas,5659,10688,Helsingin vp,Varalla
201,"Lepola, Kaisa",SDP,5538,9869,Hämeen vp,Varalla
202,"Taavitsainen, Satu",SDP,5416,9936,Kaakkois-Suomen vp,Varalla
203,"Kaleva, Atte",Kok,5067,11952,Helsingin vp,Varalla
204,"Puumala, Tuomo",Kesk,5026,10013,Vaasan vp,Varalla
205,"Bruneau, Milla",Kok,4857,9872,Hämeen vp,Varalla
206,"Nieminen, Mira",PS,4820,10886,Hämeen vp,Varalla
207,"Rantala, Marcus",RKP,4683,10148,Helsingin vp,Varalla
208,"Nylander, Mikaela",RKP,4637,12383,Uudenmaan vp,Varalla
209,"Diarra, Fatim",Vihr,4564,12918,Helsingin vp,Varalla
210,"Valkonen, Ville",Kok,4417,10484,Varsinais-Suomen vp,Varalla
211,"Ruotsala, Aki",KD,4359,8360,Vaasan vp,Varalla
212,"Kettunen, Tuomas",Kesk,4333,11173,Oulun vp,Varalla
213,"Maijala, Eeva-Maria",Kesk,4328,7284,Lapin vp,Varalla
214,"Tynkkynen, Oras",Vihr,4300,12379,Pirkanmaan vp,Varalla
215,"Räsänen, Joona",SDP,4189,12120,Uudenmaan vp,Varalla
216,"Kinnunen, Jari",Kok,4153,11049,Pirkanmaan vp,Varalla
217,"Pakkanen, Markku",Kesk,4105,10176,Kaakkois-Suomen vp,Varalla
218,"Torsti, Pilvi",SDP,3954,13005,Helsingin vp,Varalla
219,"Huru, Petri",PS,3954,10045,Satakunnan vp,Varalla
220,"Väätäinen, Tuula",SDP,3944,9558,Savo-Karjalan vp,Varalla
221,"Kokko, Osmo",PS,3930,10001,Savo-Karjalan vp,Varalla
222,"Sjöskog, Niclas",RKP,3899,10564,Vaasan vp,Varalla
223,"Hakanen, Pertti",Kesk,3852,8842,Pirkanmaan vp,Varalla
224,"Vallittu, Pertti",KD,3842,11559,Varsinais-Suomen vp,Varalla
225,"Rantanen, Elina",Vihr,3802,12617,Varsinais-Suomen vp,Varalla
226,"Viljanen, Eerikki",Kesk,3759,11732,Uudenmaan vp,Varalla
227,"Karimäki, Johanna",Vihr,3748,12249,Uudenmaan vp,Varalla
228,"Laulumaa, Janne",SDP,3649,12275,Varsinais-Suomen vp,Varalla
229,"Hänninen, Juha",Kok,3625,9600,Oulun vp,Varalla
230,"Markkanen, Sallamaarit",Kesk,3572,10085,Savo-Karjalan vp,Varalla
231,"Mäkynen, Matias",SDP,3568,11195,Vaasan vp,Varalla
232,"Kurvinen, Jani",Kesk,3525,9916,Varsinais-Suomen vp,Varalla
233,"Aavakare, Eila",PS,3503,10541,Oulun vp,Varalla
234,"Kalliorinne, Risto",Vas,3473,8426,Oulun vp,Varalla
235,"Uusitalo, Mikko",Kesk,3447,10434,Satakunnan vp,Varalla
236,"Ranta, Raisa",Vas,3427,6203,Satakunnan vp,Varalla
237,"Kaleva, Lassi",PS,3374,10356,Pirkanmaan vp,Varalla
238,"Rehula, Juha",Kesk,3327,10445,Hämeen vp,Varalla
239,"Flöjt, Mika",Vihr,3289,10184,Oulun vp,Varalla
240,"Vahvelainen, Tanja",PS,3287,12397,Uudenmaan vp,Varalla
241,"Kataja, Sampsa",Kok,3156,8916,Satakunnan vp,Varalla
242,"Vahasalo, Raija",Kok,3076,11429,Uudenmaan vp,Varalla
243,"Aalto, Touko",Vihr,3073,8830,Keski-Suomen vp,Varalla
244,"Kurttila, Tuomas",SDP,2913,9728,Keski-Suomen vp,Varalla
245,"Heinonen, Barbara",RKP,2858,7617,Varsinais-Suomen vp,Varalla
246,"Koski, Susanna",Kok,2723,9841,Vaasan vp,Varalla
247,"Nummela, Nina",Muut,2665,12310,Uudenmaan vp,Varalla
248,"Hartonen-Pulkka, Tanja",PS,2664,9238,Kaakkois-Suomen vp,Varalla
249,"Nissinen, Eino",Kesk,2640,7648,Keski-Suomen vp,Varalla
250,"Laine, Hanna",SDP,2596,11011,Pirkanmaan vp,Varalla
251,"Turunen, Kauko",KD,2595,8588,Pirkanmaan vp,Varalla
252,"Tiainen, Eila",Vas,2536,6343,Keski-Suomen vp,Varalla
253,"Valtola, Oskari",Kok,2523,11044,Kaakkois-Suomen vp,Varalla
254,"Moisanen, Sari",Vas,2520,7055,Lapin vp,Varalla
255,"Kankaanniemi, Toimi",PS,2485,9272,Keski-Suomen vp,Varalla
256,"Auvinen, Harri",Vihr,2447,10658,Savo-Karjalan vp,Varalla
257,"Karppi, Päivi",PS,2436,10707,Vaasan vp,Varalla
258,"Halonen, Miila",Vas,2392,8731,Uudenmaan vp,Varalla
259,"Elo, Timo",Kok,2370,9238,Savo-Karjalan vp,Varalla
260,"Jokinen, Sari",Vihr,2281,8665,Hämeen vp,Varalla
261,"Liikanen, Veli",Vihr,2230,7673,Kaakkois-Suomen vp,Varalla
262,"Tuisku, Sara",Kok,2213,6206,Lapin vp,Varalla
263,"Meriluoto, Laura",Vas,2177,7943,Savo-Karjalan vp,Varalla
